,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
162,"frozenset({'trace_length_max', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.308333333,0.325,0.058333333,0.189189189,0.582120582,-0.041875,0.8325,,
960,"frozenset({'trace_length_median', 'trace_length_max', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.283333333,0.325,0.05,0.176470588,0.542986425,-0.042083333,0.819642857,,
554,"frozenset({'trace_length_median', 'call_depth_median'})",frozenset({'KLEE_data'}),0.283333333,0.325,0.05,0.176470588,0.542986425,-0.042083333,0.819642857,,
1001,"frozenset({'trace_length_max', 'call_depth_median', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.15,0.325,0.025,0.166666667,0.512820513,-0.02375,0.81,,
53,frozenset({'call_depth_max'}),frozenset({'KLEE_data'}),0.308333333,0.325,0.05,0.162162162,0.498960499,-0.050208333,0.805645161,,
493,"frozenset({'call_depth_median', 'call_depth_max'})",frozenset({'KLEE_data'}),0.308333333,0.325,0.05,0.162162162,0.498960499,-0.050208333,0.805645161,,
358,"frozenset({'global_nesting_depth_median', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.208333333,0.325,0.033333333,0.16,0.492307692,-0.034375,0.803571429,,
337,"frozenset({'trace_length_median', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.316666667,0.325,0.05,0.157894737,0.48582996,-0.052916667,0.8015625,,
247,"frozenset({'trace_length_max', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.158333333,0.325,0.025,0.157894737,0.48582996,-0.026458333,0.8015625,,
191,"frozenset({'trace_length_max', 'call_depth_max'})",frozenset({'KLEE_data'}),0.216666667,0.325,0.033333333,0.153846154,0.473372781,-0.037083333,0.797727273,,
1046,"frozenset({'trace_length_median', 'trace_length_max', 'call_depth_max'})",frozenset({'KLEE_data'}),0.216666667,0.325,0.033333333,0.153846154,0.473372781,-0.037083333,0.797727273,,
2563,"frozenset({'trace_length_median', 'call_depth_median', 'call_depth_max', 'trace_length_max'})",frozenset({'KLEE_data'}),0.216666667,0.325,0.033333333,0.153846154,0.473372781,-0.037083333,0.797727273,,
1086,"frozenset({'trace_length_max', 'call_depth_median', 'call_depth_max'})",frozenset({'KLEE_data'}),0.216666667,0.325,0.033333333,0.153846154,0.473372781,-0.037083333,0.797727273,,
1662,"frozenset({'trace_length_median', 'call_depth_median', 'call_depth_max'})",frozenset({'KLEE_data'}),0.25,0.325,0.033333333,0.133333333,0.41025641,-0.047916667,0.778846154,,
453,"frozenset({'trace_length_median', 'call_depth_max'})",frozenset({'KLEE_data'}),0.25,0.325,0.033333333,0.133333333,0.41025641,-0.047916667,0.778846154,,
