,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1024,"frozenset({'global_nesting_depth_max', 'call_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.175,0.675,0.158333333,0.904761905,1.340388007,0.040208333,3.4125
1038,"frozenset({'global_nesting_depth_max', 'trace_length_median', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.083333333,0.675,0.075,0.9,1.333333333,0.01875,3.25
1659,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'trace_length_median', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.083333333,0.675,0.075,0.9,1.333333333,0.01875,3.25
714,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.083333333,0.675,0.075,0.9,1.333333333,0.01875,3.25
885,"frozenset({'trace_length_max', 'global_nesting_depth_median_neg', 'trace_length_median'})",frozenset({'KLEE_data'}),0.075,0.675,0.066666667,0.888888889,1.316872428,0.016041667,2.925
688,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.15,0.675,0.133333333,0.888888889,1.316872428,0.032083333,2.925
826,"frozenset({'trace_length_max', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.15,0.675,0.133333333,0.888888889,1.316872428,0.032083333,2.925
401,"frozenset({'global_nesting_depth_median_neg', 'trace_length_median'})",frozenset({'KLEE_data'}),0.075,0.675,0.066666667,0.888888889,1.316872428,0.016041667,2.925
223,"frozenset({'trace_length_max', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.075,0.675,0.066666667,0.888888889,1.316872428,0.016041667,2.925
1630,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'call_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.141666667,0.675,0.125,0.882352941,1.307189542,0.029375,2.7625
1846,"frozenset({'trace_length_max', 'call_depth_median', 'global_nesting_depth_median_neg', 'trace_length_median'})",frozenset({'KLEE_data'}),0.066666667,0.675,0.058333333,0.875,1.296296296,0.013333333,2.6
904,"frozenset({'trace_length_max', 'call_depth_median', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.066666667,0.675,0.058333333,0.875,1.296296296,0.013333333,2.6
